step,logs/rot-y_exp-A,logs/rot-y_exp-B
0,0.41626201570034027,0.4807826578617096
1,0.33554188907146454,0.42082956433296204
2,0.2991364151239395,0.38770556449890137
3,0.2764538750052452,0.35565778613090515
4,0.25536663830280304,0.32773736119270325
5,0.23735927045345306,0.3069697916507721
6,0.2148924171924591,0.28913670778274536
7,0.1949322298169136,0.2694324553012848
8,0.17604432255029678,0.25571197271347046
9,0.15757304430007935,0.23346556723117828
10,0.13834645971655846,0.21423737704753876
11,0.11887500062584877,0.18643134832382202
12,0.1023993045091629,0.16307641565799713
13,0.08982285670936108,0.1471264809370041
14,0.07729617692530155,0.12371668964624405
15,0.06966112926602364,0.10984835773706436
16,0.06659447029232979,0.10018150508403778
17,0.05545783042907715,0.09130458533763885
18,0.05518226884305477,0.08036915957927704
19,0.04825213365256786,0.07538694143295288
20,0.041705249808728695,0.06452440470457077
21,0.04548481106758118,0.05925256013870239
22,0.04260922409594059,0.06270162016153336
23,0.043183472007513046,0.053594157099723816
24,0.040353696793317795,0.05272907763719559
25,0.03296373877674341,0.04966975748538971
26,0.03139131888747215,0.058963920921087265
27,0.04051482491195202,0.048500530421733856
28,0.03458424936980009,0.04293356090784073
29,0.031622893176972866,0.03984483331441879
30,0.03952560015022755,0.03715547174215317
31,0.024301204830408096,0.036498330533504486
32,0.025086416862905025,0.036636997014284134
33,0.032069859094917774,0.04259709641337395
34,0.031082610599696636,0.036042504012584686
35,0.02188058290630579,0.04149444028735161
36,0.024277744349092245,0.030065305531024933
37,0.021473384462296963,0.034187112003564835
38,0.03601892292499542,0.04314471036195755
39,0.021308090537786484,0.03811722248792648
40,0.0218513123691082,0.032638002187013626
41,0.020361371338367462,0.028394605964422226
42,0.023404834792017937,0.030224105343222618
43,0.01948881335556507,0.03978181257843971
44,0.02167285606265068,0.02597101964056492
45,0.02532968297600746,0.023067528381943703
46,0.020396994426846504,0.026554320007562637
47,0.017576306127011776,0.030173180624842644
48,0.020978411193937063,0.02763935923576355
49,0.027666842564940453,0.02342829294502735
50,0.018772754818201065,0.02966843917965889
51,0.01867496967315674,0.02652578055858612
52,0.014656889252364635,0.019243745133280754
53,0.019529782701283693,0.032683003693819046
54,0.02075393870472908,0.024498319253325462
55,0.01865231478586793,0.01798280142247677
56,0.013068117201328278,0.02742827497422695
57,0.018042877782136202,0.021009672433137894
58,0.015137740410864353,0.021692270413041115
59,0.01284729316830635,0.023505544289946556
60,0.014470302034169436,0.02128373645246029
61,0.020637556444853544,0.025149110704660416
62,0.014155286364257336,0.015063822269439697
63,0.014328296761959791,0.014020020142197609
64,0.016940167173743248,0.02108609490096569
65,0.016736043617129326,0.02771022729575634
66,0.014801089651882648,0.02082957699894905
67,0.035792393144220114,0.01488350797444582
68,0.018178721889853477,0.015460869297385216
69,0.01642866339534521,0.017029277980327606
70,0.013959744945168495,0.016485100612044334
71,0.018234978429973125,0.012945772148668766
72,0.01570427231490612,0.023841308429837227
73,0.013702026568353176,0.022859470918774605
74,0.01136207627132535,0.016359621658921242
75,0.011005059815943241,0.013789303600788116
76,0.014557552523911,0.023719649761915207
77,0.014117905404418707,0.01765803061425686
78,0.011634496040642262,0.02027723751962185
79,0.010444363113492727,0.014560981653630733
80,0.014219993725419044,0.016346609219908714
81,0.013945120386779308,0.018119344487786293
82,0.011952549684792757,0.01483562309294939
83,0.013410559855401516,0.015300240367650986
84,0.013103564269840717,0.016466008499264717
85,0.009338718838989735,0.015065615996718407
86,0.011618217919021845,0.014000136405229568
87,0.015327705536037683,0.019280195236206055
88,0.01056993706151843,0.02128037065267563
89,0.015184779185801744,0.016245342791080475
90,0.024951638653874397,0.012156042270362377
91,0.012088721618056297,0.013503234833478928
92,0.01124580716714263,0.016826719045639038
93,0.009402896743267775,0.02452748827636242
94,0.011698149610310793,0.01638117991387844
95,0.00992073817178607,0.013964982703328133
96,0.00973555352538824,0.01885552704334259
97,0.010637324769049883,0.01171132829040289
98,0.009674232918769121,0.015501925721764565
99,0.014108369592577219,0.012304299511015415
