step,logs/rot-y_exp-A
0,0.6042942404747009
1,0.6944171190261841
2,0.732487142086029
3,0.7549425363540649
4,0.7781610488891602
5,0.7991511225700378
6,0.8156494498252869
7,0.83650803565979
8,0.8548426628112793
9,0.8776279091835022
10,0.8986260294914246
11,0.913242757320404
12,0.9287645220756531
13,0.93578040599823
14,0.9470317959785461
15,0.9501326084136963
16,0.9475334286689758
17,0.9592606425285339
18,0.9649060368537903
19,0.9705646634101868
20,0.952520489692688
21,0.9703450202941895
22,0.9780378341674805
23,0.9800664186477661
24,0.9806569218635559
25,0.9814679622650146
26,0.9782193303108215
27,0.9829920530319214
28,0.9690074920654297
29,0.9834131002426147
30,0.9862252473831177
31,0.9748228192329407
32,0.9844889044761658
33,0.9889129400253296
34,0.9797295331954956
35,0.9820728302001953
36,0.9907276630401611
37,0.9917605519294739
38,0.9862061142921448
39,0.9800124168395996
40,0.9800037145614624
41,0.9788504242897034
42,0.9881665706634521
43,0.9929872155189514
44,0.9897159337997437
45,0.9923257827758789
46,0.9901899695396423
47,0.9923001527786255
48,0.9939554929733276
49,0.9890834093093872
50,0.9948206543922424
51,0.9750484824180603
52,0.9898048639297485
53,0.9946635961532593
54,0.992899477481842
55,0.9953669905662537
56,0.9881606101989746
57,0.9945845603942871
58,0.9915138483047485
59,0.9939668774604797
60,0.9926843643188477
61,0.9909040331840515
62,0.9938371181488037
63,0.994929850101471
64,0.9939595460891724
65,0.993584394454956
66,0.9908847808837891
67,0.9927439093589783
68,0.9954361319541931
69,0.9940133690834045
70,0.9957529902458191
71,0.9943860769271851
72,0.9962555170059204
73,0.992772102355957
74,0.9874093532562256
75,0.9941486716270447
76,0.9945607781410217
77,0.9944590926170349
78,0.9961633682250977
79,0.9940906763076782
80,0.9928048849105835
81,0.9937409162521362
82,0.9917569756507874
83,0.9932020306587219
84,0.995654821395874
85,0.9943497776985168
86,0.9967876076698303
87,0.9955793023109436
88,0.9848641157150269
89,0.9952899217605591
90,0.9938852190971375
91,0.9964104890823364
92,0.9962943196296692
93,0.9937224388122559
94,0.9960552453994751
95,0.9954787492752075
96,0.996870219707489
97,0.9970564246177673
98,0.9945619106292725
99,0.9967410564422607
