step,alpha_single_bin_with_pos_enc,alpha_tricosine_with_pos_enc,rot-y_single-bin_with_pos_enc,rot-y_tricosine_with_pos_enc
0,0.594520092010498,0.5812962055206299,0.578562319278717,0.5643381476402283
1,0.6866222620010376,0.6704519391059875,0.6726404428482056,0.6709297895431519
2,0.7330087423324585,0.7126128077507019,0.7063813805580139,0.7059535980224609
3,0.7655607461929321,0.7442125082015991,0.7314053177833557,0.7357282042503357
4,0.7951003313064575,0.7746875286102295,0.75434809923172,0.7584616541862488
5,0.8222483992576599,0.8041201233863831,0.7756530046463013,0.7753872871398926
6,0.8483192920684814,0.8317814469337463,0.7997620701789856,0.7947630882263184
7,0.8728650808334351,0.8580296635627747,0.8230524659156799,0.8135369420051575
8,0.8945422172546387,0.8786358833312988,0.8501980304718018,0.8333835005760193
9,0.9098566174507141,0.8976778984069824,0.8734136819839478,0.8625519275665283
10,0.9258168935775757,0.9160689115524292,0.8954246044158936,0.8849015831947327
11,0.9374834299087524,0.9288121461868286,0.9114565253257751,0.9068101048469543
12,0.9467628598213196,0.9381974339485168,0.9257083535194397,0.9233622550964355
13,0.9541415572166443,0.944832444190979,0.9374004602432251,0.9366568326950073
14,0.9621220827102661,0.9545556306838989,0.9467008709907532,0.9440653324127197
15,0.9675904512405396,0.9575945138931274,0.9512587785720825,0.9537509083747864
16,0.9674627780914307,0.9626534581184387,0.9587306976318359,0.9578549265861511
17,0.9726799130439758,0.9658427238464355,0.9607037305831909,0.9629724621772766
18,0.9740092158317566,0.9700052738189697,0.9661380648612976,0.9664456844329834
19,0.9776430130004883,0.96933513879776,0.9679720401763916,0.9714204668998718
20,0.9782636761665344,0.9737837910652161,0.9679020643234253,0.9709157347679138
21,0.9805199503898621,0.9740196466445923,0.9715189933776855,0.9728427529335022
22,0.9820388555526733,0.9749903678894043,0.9771220684051514,0.9762648344039917
23,0.9829116463661194,0.9787973761558533,0.9764352440834045,0.9756916165351868
24,0.9836304783821106,0.9795798063278198,0.9770087003707886,0.977418065071106
25,0.9850677251815796,0.9821261167526245,0.9786850810050964,0.9792980551719666
26,0.9853734970092773,0.9806975722312927,0.9772676229476929,0.9809022545814514
27,0.9843741059303284,0.9804144501686096,0.9822180271148682,0.9797765016555786
28,0.9873206615447998,0.9821319580078125,0.9802819490432739,0.9828974008560181
29,0.9874776005744934,0.9833836555480957,0.9817686080932617,0.9816324710845947
