step,bins/logs/rot-y_multibin
0,0.6364774256944656
1,0.6404567956924438
2,0.6424201428890228
3,0.6379750967025757
4,0.6433458924293518
5,0.6362844705581665
6,0.6365243047475815
7,0.645372211933136
8,0.6465469300746918
9,0.6473226547241211
10,0.6529091596603394
11,0.6549556851387024
12,0.6539251804351807
13,0.659386545419693
14,0.6594007611274719
15,0.6648734211921692
16,0.6645374000072479
17,0.665499359369278
18,0.6671071946620941
19,0.6664603650569916
20,0.6683927178382874
21,0.6704432964324951
22,0.6681660115718842
23,0.6700771152973175
24,0.6656463146209717
25,0.668890655040741
26,0.670161634683609
27,0.6691921949386597
28,0.6686470359563828
29,0.669218510389328
30,0.6717070937156677
31,0.6678430140018463
32,0.6708354353904724
33,0.6728760749101639
34,0.6752214431762695
35,0.6751722991466522
36,0.6748073101043701
37,0.674422100186348
38,0.6742368936538696
39,0.6756955087184906
40,0.6774636209011078
41,0.6771893203258514
42,0.6738326847553253
43,0.6757023185491562
44,0.6778578460216522
45,0.6763264536857605
46,0.6749691665172577
47,0.6760756075382233
48,0.674308717250824
49,0.6778042018413544
50,0.6763716042041779
51,0.6784817427396774
52,0.6773827821016312
53,0.6757663190364838
54,0.6777926385402679
55,0.6796364486217499
56,0.6765303015708923
57,0.6782780587673187
58,0.678018718957901
59,0.6800373196601868
60,0.6777323782444
61,0.6774869561195374
62,0.6752618998289108
63,0.6797653436660767
64,0.6799356043338776
65,0.6783954799175262
66,0.6804667711257935
67,0.6818868219852448
68,0.6782740652561188
69,0.6773740947246552
70,0.6791952252388
71,0.6820371747016907
72,0.679493322968483
73,0.674627423286438
74,0.6797760725021362
75,0.6792221516370773
76,0.6816938519477844
77,0.6776654571294785
78,0.6786770820617676
79,0.6779235601425171
80,0.6790441274642944
81,0.6800603717565536
82,0.6811229586601257
83,0.6796829402446747
84,0.6800612211227417
85,0.67886883020401
86,0.6799986958503723
87,0.6806543171405792
88,0.6793988645076752
89,0.682193785905838
90,0.6812185347080231
91,0.6816729605197906
92,0.6814039647579193
93,0.6836266815662384
94,0.678368479013443
95,0.6825132071971893
96,0.6832332611083984
97,0.6810125410556793
98,0.6815325915813446
99,0.6790782958269119
