step,logs/rot-y_exp-A
0,0.6595706343650818
1,0.7475813627243042
2,0.7797335386276245
3,0.7974050045013428
4,0.8156607151031494
5,0.8312563002109528
6,0.8487735092639923
7,0.8659686148166656
8,0.8826016187667847
9,0.897568017244339
10,0.9142777919769287
11,0.9295943081378937
12,0.941422700881958
13,0.9509012401103973
14,0.959236204624176
15,0.9641611576080322
16,0.9661401808261871
17,0.9733545780181885
18,0.9730362296104431
19,0.9772874116897583
20,0.9810784161090851
21,0.9789856374263763
22,0.9803755879402161
23,0.9799835085868835
24,0.9814310669898987
25,0.9857872426509857
26,0.9865390658378601
27,0.9815713763237
28,0.9846218824386597
29,0.9862165749073029
30,0.9829156398773193
31,0.9904298782348633
32,0.9897958636283875
33,0.985727459192276
34,0.9864600002765656
35,0.9915676414966583
36,0.9898914396762848
37,0.9915640354156494
38,0.9824677407741547
39,0.99171382188797
40,0.9913645088672638
41,0.9920434951782227
42,0.9902288317680359
43,0.9924062490463257
44,0.991104006767273
45,0.9891282618045807
46,0.9919527173042297
47,0.9935021102428436
48,0.991452157497406
49,0.9878502190113068
50,0.9926177859306335
51,0.9928233623504639
52,0.9948160350322723
53,0.9922419488430023
54,0.9915041327476501
55,0.9926904439926147
56,0.9957354664802551
57,0.9927516877651215
58,0.9947721064090729
59,0.995674341917038
60,0.9947401881217957
61,0.9913298487663269
62,0.9950888454914093
63,0.9947198927402496
64,0.9935267567634583
65,0.9936252236366272
66,0.9945374727249146
67,0.9822322428226471
68,0.99281445145607
69,0.9937737882137299
70,0.9951539933681488
71,0.9926390647888184
72,0.9941605627536774
73,0.9950456321239471
74,0.9962667226791382
75,0.9965062141418457
76,0.9946044683456421
77,0.9949730038642883
78,0.9961954057216644
79,0.9968099594116211
80,0.9948718547821045
81,0.9947298765182495
82,0.995943009853363
83,0.9951670467853546
84,0.9952804148197174
85,0.9973131418228149
86,0.9960379600524902
87,0.9941695630550385
88,0.9966471493244171
89,0.9941523671150208
90,0.9886930584907532
91,0.996075838804245
92,0.9963895678520203
93,0.9972283840179443
94,0.9959542155265808
95,0.9968517124652863
96,0.9969511926174164
97,0.9967174828052521
98,0.9970735609531403
99,0.9946383833885193
