step,bins/logs/rot-y_multibin
0,0.3316621631383896
1,0.2729806452989578
2,0.24421586096286774
3,0.2254568636417389
4,0.209992453455925
5,0.19606579840183258
6,0.18352707475423813
7,0.17003832757472992
8,0.15657736361026764
9,0.1422332376241684
10,0.12412147969007492
11,0.10632858797907829
12,0.09271307662129402
13,0.08152966573834419
14,0.0731319971382618
15,0.06322785280644894
16,0.06505078636109829
17,0.05762944370508194
18,0.05158030986785889
19,0.04399864189326763
20,0.04838421568274498
21,0.0396678913384676
22,0.03798241168260574
23,0.037777822464704514
24,0.04431829787790775
25,0.04527454264461994
26,0.044715916737914085
27,0.03783428855240345
28,0.035094243474304676
29,0.05491584725677967
30,0.033265551552176476
31,0.03444904275238514
32,0.03198978491127491
33,0.020693916827440262
34,0.02302937302738428
35,0.02017770241945982
36,0.030752831138670444
37,0.027422327548265457
38,0.024082018993794918
39,0.019513120874762535
40,0.02173994481563568
41,0.018894623033702374
42,0.032811044715344906
43,0.02339213900268078
44,0.017983808647841215
45,0.01748627796769142
46,0.019887814298272133
47,0.018690168857574463
48,0.023831534199416637
49,0.018034442327916622
50,0.02436262834817171
51,0.01744937477633357
52,0.017836561892181635
53,0.02179720811545849
54,0.020141726825386286
55,0.017092255409806967
56,0.014833168592303991
57,0.017104195430874825
58,0.014533726032823324
59,0.013726493809372187
60,0.02151683857664466
61,0.02043248899281025
62,0.015788627322763205
63,0.01589789381250739
64,0.013752827886492014
65,0.013523598201572895
66,0.016683723777532578
67,0.011422434356063604
68,0.013150636106729507
69,0.014682593289762735
70,0.01244552107527852
71,0.012582309544086456
72,0.012404580134898424
73,0.01839954685419798
74,0.011357018258422613
75,0.011058616451919079
76,0.010606983909383416
77,0.014090724289417267
78,0.015067188534885645
79,0.012413931544870138
80,0.010873433202505112
81,0.010501126758754253
82,0.008670778013765812
83,0.014228471089154482
84,0.015257004648447037
85,0.015413884073495865
86,0.019776672590523958
87,0.016291688662022352
88,0.010909699834883213
89,0.008943103719502687
90,0.014403123408555984
91,0.01642521284520626
92,0.013752772007137537
93,0.00868172850459814
94,0.012429169844835997
95,0.010037017986178398
96,0.01344647677615285
97,0.011567545821890235
98,0.01044416707009077
99,0.009896555915474892
