step,logs/rot-y_multibin
0,0.570686399936676
1,0.6837776303291321
2,0.7190074920654297
3,0.7467174530029297
4,0.7654244303703308
5,0.7853276133537292
6,0.8061771392822266
7,0.8246386647224426
8,0.845759391784668
9,0.8675978183746338
10,0.8870587348937988
11,0.8970209360122681
12,0.9207183718681335
13,0.9305022954940796
14,0.932826817035675
15,0.9512914419174194
16,0.9534869194030762
17,0.9505635499954224
18,0.9621323943138123
19,0.9585966467857361
20,0.9689239859580994
21,0.9635128378868103
22,0.9740110039710999
23,0.9779072403907776
24,0.9564751982688904
25,0.965908944606781
26,0.9682741761207581
27,0.9745286107063293
28,0.9806993007659912
29,0.9747578501701355
30,0.9788405299186707
31,0.9813305735588074
32,0.9848085045814514
33,0.9847663640975952
34,0.9831085801124573
35,0.9811550378799438
36,0.970558226108551
37,0.9818985462188721
38,0.9843637347221375
39,0.978312075138092
40,0.9807984828948975
41,0.981677770614624
42,0.9778510332107544
43,0.9843696355819702
44,0.9749293923377991
45,0.9669321179389954
46,0.9861887097358704
47,0.988936722278595
48,0.989205002784729
49,0.9869343638420105
50,0.9882535934448242
51,0.9883961081504822
52,0.9869046211242676
53,0.9879512786865234
54,0.9804926514625549
55,0.9843206405639648
56,0.9880526065826416
57,0.983494758605957
58,0.9863997101783752
59,0.9888461828231812
60,0.986798882484436
61,0.9884769916534424
62,0.9880291223526001
63,0.9865804314613342
64,0.9879496097564697
65,0.9887548685073853
66,0.9892851114273071
67,0.9886768460273743
68,0.9885974526405334
69,0.9862238168716431
70,0.9737057685852051
71,0.9867151379585266
72,0.9895062446594238
73,0.9905867576599121
74,0.9909699559211731
75,0.9901915788650513
76,0.9893408417701721
77,0.9887121319770813
78,0.9895479083061218
79,0.9859102368354797
80,0.9900866150856018
81,0.991176426410675
82,0.9904757142066956
83,0.9904802441596985
84,0.9881252646446228
85,0.9871011972427368
86,0.9890764355659485
87,0.9858620166778564
88,0.9887582659721375
89,0.9904652237892151
90,0.989891767501831
91,0.9885685443878174
92,0.9881336092948914
93,0.9911155104637146
94,0.9912552833557129
95,0.9910354018211365
96,0.9910221695899963
97,0.9874783158302307
98,0.9899893999099731
99,0.9903985857963562
