step,logs/rot-y_multibin
0,0.49435684084892273
1,0.5011619329452515
2,0.5049319863319397
3,0.49482452869415283
4,0.503984808921814
5,0.49121618270874023
6,0.49521175026893616
7,0.5083014369010925
8,0.5075821280479431
9,0.5053611397743225
10,0.5084657669067383
11,0.503389835357666
12,0.49751150608062744
13,0.5030765533447266
14,0.5008565187454224
15,0.5056978464126587
16,0.5044467449188232
17,0.5048827528953552
18,0.5034015774726868
19,0.5003069043159485
20,0.5022529363632202
21,0.5028795003890991
22,0.5034143924713135
23,0.5041339993476868
24,0.5015771985054016
25,0.5000021457672119
26,0.5027535557746887
27,0.5022955536842346
28,0.4988979995250702
29,0.5010260939598083
30,0.5010988116264343
31,0.5005591511726379
32,0.5015374422073364
33,0.4996916353702545
34,0.49983495473861694
35,0.5002853274345398
36,0.5003752112388611
37,0.49928537011146545
38,0.5006262063980103
39,0.4996160864830017
40,0.5017666220664978
41,0.5019720196723938
42,0.4991300702095032
43,0.4979267418384552
44,0.5013131499290466
45,0.5014316439628601
46,0.49841588735580444
47,0.4966474771499634
48,0.49993985891342163
49,0.5001904368400574
50,0.5008471012115479
51,0.49945005774497986
52,0.4975368082523346
53,0.4992374777793884
54,0.5027960538864136
55,0.5016849637031555
56,0.5001382827758789
57,0.4997164011001587
58,0.5009957551956177
59,0.5010706186294556
60,0.4996848702430725
61,0.4998314380645752
62,0.49899664521217346
63,0.5002076029777527
64,0.5010014176368713
65,0.5021624565124512
66,0.5004079937934875
67,0.5024847388267517
68,0.49926692247390747
69,0.497900128364563
70,0.5012137293815613
71,0.5004401803016663
72,0.49891290068626404
73,0.4981353282928467
74,0.5023921728134155
75,0.4989829361438751
76,0.4986993670463562
77,0.49945732951164246
78,0.5010159015655518
79,0.5001115202903748
80,0.49789804220199585
81,0.49881312251091003
82,0.5006778836250305
83,0.4995092749595642
84,0.49924421310424805
85,0.4989585876464844
86,0.500891387462616
87,0.500886857509613
88,0.5002598762512207
89,0.49956637620925903
90,0.5022526383399963
91,0.5017555952072144
92,0.5008655190467834
93,0.5017520785331726
94,0.4978599548339844
95,0.5025416612625122
96,0.5024111866950989
97,0.5011456608772278
98,0.5001981258392334
99,0.4986412823200226
