step,rot-y_single-bin_with_pos_enc,rot-y_tricosine_with_pos_enc
0,0.5069392323493958,0.5131821036338806
1,0.5914482474327087,0.6163303852081299
2,0.668931245803833,0.6795750856399536
3,0.7064706087112427,0.7129862308502197
4,0.7340694665908813,0.738973081111908
5,0.7529110908508301,0.7598472237586975
6,0.7665548920631409,0.7748094797134399
7,0.7850309014320374,0.7970722913742065
8,0.8017645478248596,0.8250371813774109
9,0.8173126578330994,0.8451623916625977
10,0.8412020802497864,0.8737176656723022
11,0.8679425716400146,0.8953843712806702
12,0.8944702744483948,0.9108232855796814
13,0.9057718515396118,0.9213153719902039
14,0.9263859391212463,0.9357801675796509
15,0.9370405673980713,0.9462885856628418
16,0.9486057758331299,0.9487836956977844
17,0.9528551697731018,0.9574114680290222
18,0.9368091225624084,0.9655669927597046
19,0.9648351669311523,0.9714136123657227
20,0.9670649766921997,0.9716728925704956
21,0.9685007333755493,0.9730938076972961
22,0.9673242568969727,0.9560797214508057
23,0.9749833941459656,0.9652602672576904
24,0.9793066382408142,0.9720667600631714
25,0.9691371917724609,0.982894241809845
26,0.9828124046325684,0.972553014755249
27,0.9863329529762268,0.976801335811615
28,0.9810602068901062,0.9772748947143555
29,0.9776567220687866,0.9804896116256714
30,0.9851019382476807,0.9872362613677979
31,0.9854405522346497,0.9893558025360107
32,0.9749614596366882,0.9887269139289856
33,0.9895057678222656,0.9869893789291382
34,0.9880584478378296,0.9830347299575806
35,0.9877234101295471,0.9855568408966064
36,0.9883785247802734,0.9891884922981262
37,0.9879624247550964,0.9889956116676331
38,0.9887155890464783,0.9836001992225647
39,0.9873650670051575,0.9904085993766785
40,0.9881359934806824,0.9905091524124146
41,0.9811151623725891,0.9882407188415527
42,0.9861599802970886,0.9866761565208435
43,0.98692786693573,0.9925112128257751
44,0.9795823693275452,0.9913694262504578
45,0.9924575686454773,0.991726279258728
46,0.9931233525276184,0.9927942156791687
47,0.9939773082733154,0.9912031292915344
48,0.992217481136322,0.9911028742790222
49,0.9915516376495361,0.9899910092353821
50,0.9856163859367371,0.9902493953704834
51,0.990985095500946,0.9878776669502258
52,0.9942293763160706,0.9915951490402222
53,0.9917809367179871,0.9917677044868469
54,0.992010235786438,0.9926860928535461
55,0.9918158054351807,0.9938988089561462
56,0.9916228652000427,0.9919005632400513
57,0.9879317879676819,0.9930049777030945
58,0.9947538375854492,0.9930987358093262
59,0.9938991069793701,0.9915943741798401
60,0.9919843077659607,0.993638813495636
61,0.9941264986991882,0.9952437877655029
62,0.995318591594696,0.9913675785064697
63,0.9935200810432434,0.9933028817176819
64,0.9901033043861389,0.9951298832893372
65,0.9931090474128723,0.9954197406768799
66,0.9941926598548889,0.9916074275970459
67,0.9950458407402039,0.9936627149581909
68,0.9944517612457275,0.9937908053398132
69,0.9949027299880981,0.9948269724845886
70,0.9948976635932922,0.9961203932762146
71,0.9939064979553223,0.9720012545585632
72,0.990359365940094,0.9873551726341248
73,0.9949988126754761,0.9935866594314575
74,0.995802640914917,0.9954845905303955
75,0.996362566947937,0.996104896068573
76,0.9937642216682434,0.9962460398674011
77,0.9947280287742615,0.9965746402740479
78,0.9955654740333557,0.9948673844337463
79,0.9962960481643677,0.9962607622146606
80,0.9907768964767456,0.9962096810340881
81,0.9950898885726929,0.9939010143280029
82,0.996989369392395,0.9947488307952881
83,0.9964908361434937,0.9954239726066589
84,0.9937142729759216,0.9958418011665344
85,0.9961052536964417,0.9959908127784729
86,0.9967987537384033,0.9940893054008484
87,0.9937946796417236,0.9935274720191956
88,0.9946946501731873,0.9953696131706238
89,0.9957744479179382,0.9967403411865234
90,0.9970495700836182,0.9938063025474548
91,0.9953664541244507,0.9923964142799377
92,0.9951341152191162,0.9934335350990295
93,0.9962100982666016,0.995935320854187
94,0.9972308278083801,0.9965331554412842
95,0.9963667392730713,0.99539715051651
96,0.9958866834640503,0.99607253074646
97,0.9967323541641235,0.9939910769462585
98,0.9958980679512024,0.9958271384239197
99,0.9961298108100891,0.9968826174736023
