step,logs/rot-y_exp-A,logs/rot-y_exp-B
0,0.6595706343650818,0.6000480651855469
1,0.7475813627243042,0.6750563383102417
2,0.7797335386276245,0.7010399699211121
3,0.7974050045013428,0.7251718640327454
4,0.8156607151031494,0.7511904835700989
5,0.8312563002109528,0.7693915963172913
6,0.8487735092639923,0.7828317284584045
7,0.8659686148166656,0.7977737188339233
8,0.8826016187667847,0.8141303658485413
9,0.897568017244339,0.8354677557945251
10,0.9142777919769287,0.8539106249809265
11,0.9295943081378937,0.8794511556625366
12,0.941422700881958,0.8982357382774353
13,0.9509012401103973,0.9095901846885681
14,0.959236204624176,0.9284951686859131
15,0.9641611576080322,0.9379051327705383
16,0.9661401808261871,0.9450802803039551
17,0.9733545780181885,0.9501482844352722
18,0.9730362296104431,0.9583286643028259
19,0.9772874116897583,0.9608941078186035
20,0.9810784161090851,0.9680317640304565
21,0.9789856374263763,0.9711657166481018
22,0.9803755879402161,0.9693057537078857
23,0.9799835085868835,0.9748086929321289
24,0.9814310669898987,0.9753508567810059
25,0.9857872426509857,0.9766794443130493
26,0.9865390658378601,0.9708195924758911
27,0.9815713763237,0.9782347679138184
28,0.9846218824386597,0.980494499206543
29,0.9862165749073029,0.9818149209022522
30,0.9812324047088623,0.9836184978485107
31,0.9904298782348633,0.9840064644813538
32,0.9897958636283875,0.9836942553520203
33,0.985727459192276,0.9796777367591858
34,0.9864600002765656,0.9839792847633362
35,0.9915676414966583,0.9807703495025635
36,0.9898914396762848,0.9875426888465881
37,0.9915640354156494,0.9846752882003784
38,0.9824677407741547,0.980376124382019
39,0.99171382188797,0.9816982746124268
40,0.9913645088672638,0.985661506652832
41,0.9920434951782227,0.9881018996238708
42,0.9902288317680359,0.9870431423187256
43,0.9924062490463257,0.9807652831077576
44,0.991104006767273,0.989000678062439
45,0.9891282618045807,0.9907253384590149
46,0.9919527173042297,0.989014208316803
47,0.9935021102428436,0.9868354797363281
48,0.991452157497406,0.9881940484046936
49,0.9878502190113068,0.990738570690155
50,0.9926177859306335,0.987257182598114
51,0.9928233623504639,0.9890639781951904
52,0.9948160350322723,0.9929422736167908
53,0.9922419488430023,0.9849871397018433
54,0.9915041327476501,0.9897902011871338
55,0.9926904439926147,0.9935063719749451
56,0.9957354664802551,0.9878507256507874
57,0.9927516877651215,0.9914484024047852
58,0.9947721064090729,0.9916388988494873
59,0.995674341917038,0.9905507564544678
60,0.9947401881217957,0.991159200668335
61,0.9913298487663269,0.9892823696136475
62,0.9950888454914093,0.9949520826339722
63,0.9947198927402496,0.9954166412353516
64,0.9935267567634583,0.9914990663528442
65,0.9936252236366272,0.9875115752220154
66,0.9945374727249146,0.9915017485618591
67,0.9822322428226471,0.9949578642845154
68,0.99281445145607,0.9942835569381714
69,0.9937737882137299,0.9934943914413452
70,0.9951539933681488,0.9939014315605164
71,0.9926390647888184,0.9958945512771606
72,0.9941605627536774,0.9895168542861938
73,0.9950456321239471,0.9902284145355225
74,0.9962667226791382,0.9937497973442078
75,0.9965062141418457,0.9953891634941101
76,0.9946044683456421,0.9895498156547546
77,0.9949730038642883,0.9929909706115723
78,0.9961954057216644,0.991693377494812
79,0.9968099594116211,0.9947179555892944
80,0.9948718547821045,0.9938977956771851
81,0.9947298765182495,0.9928811192512512
82,0.995943009853363,0.9945154786109924
83,0.9951670467853546,0.9944049715995789
84,0.9952804148197174,0.9939019680023193
85,0.9973131418228149,0.9944862723350525
86,0.9960379600524902,0.9950379729270935
87,0.9941695630550385,0.9921040534973145
88,0.9966471493244171,0.990852952003479
89,0.9941523671150208,0.9938217997550964
90,0.9886930584907532,0.9959806203842163
91,0.996075838804245,0.995283305644989
92,0.9963895678520203,0.9932147264480591
93,0.9972283840179443,0.9891338348388672
94,0.9959542155265808,0.9937722086906433
95,0.9968517124652863,0.9949572086334229
96,0.9969511926174164,0.9924212694168091
97,0.9967174828052521,0.9964489340782166
98,0.9970735609531403,0.9941613674163818
99,0.9946383833885193,0.9961534738540649
