step,logs/rot-y_exp-A
0,0.41626201570034027
1,0.33554188907146454
2,0.2991364151239395
3,0.2764538750052452
4,0.25536663830280304
5,0.23735927045345306
6,0.2148924171924591
7,0.1949322298169136
8,0.17604432255029678
9,0.15757304430007935
10,0.13834645971655846
11,0.11887500062584877
12,0.1023993045091629
13,0.08982285670936108
14,0.07729617692530155
15,0.06966112926602364
16,0.06659447029232979
17,0.05545783042907715
18,0.05518226884305477
19,0.04825213365256786
20,0.041705249808728695
21,0.04548481106758118
22,0.04260922409594059
23,0.043183472007513046
24,0.040353696793317795
25,0.03296373877674341
26,0.03139131888747215
27,0.04051482491195202
28,0.03458424936980009
29,0.031622893176972866
30,0.03983312100172043
31,0.022799360565841198
32,0.025086416862905025
33,0.032069859094917774
34,0.031082610599696636
35,0.02188058290630579
36,0.024277744349092245
37,0.021473384462296963
38,0.03601892292499542
39,0.021308090537786484
40,0.0218513123691082
41,0.020361371338367462
42,0.023404834792017937
43,0.01948881335556507
44,0.02167285606265068
45,0.02532968297600746
46,0.020396994426846504
47,0.017576306127011776
48,0.020978411193937063
49,0.027666842564940453
50,0.018772754818201065
51,0.01867496967315674
52,0.014656889252364635
53,0.019529782701283693
54,0.02075393870472908
55,0.01865231478586793
56,0.013068117201328278
57,0.018042877782136202
58,0.015137740410864353
59,0.01284729316830635
60,0.014470302034169436
61,0.020637556444853544
62,0.014155286364257336
63,0.014328296761959791
64,0.016940167173743248
65,0.016736043617129326
66,0.014801089651882648
67,0.035792393144220114
68,0.018178721889853477
69,0.01642866339534521
70,0.013959744945168495
71,0.018234978429973125
72,0.01570427231490612
73,0.013702026568353176
74,0.01136207627132535
75,0.011005059815943241
76,0.014557552523911
77,0.014117905404418707
78,0.011634496040642262
79,0.010444363113492727
80,0.014219993725419044
81,0.013945120386779308
82,0.011952549684792757
83,0.013410559855401516
84,0.013103564269840717
85,0.009338718838989735
86,0.011618217919021845
87,0.015327705536037683
88,0.01056993706151843
89,0.015184779185801744
90,0.024951638653874397
91,0.012088721618056297
92,0.01124580716714263
93,0.009402896743267775
94,0.011698149610310793
95,0.00992073817178607
96,0.00973555352538824
97,0.010637324769049883
98,0.009674232918769121
99,0.014108369592577219
