step,logs/rot-y_multibin
0,0.336965411901474
1,0.2765127420425415
2,0.24654190242290497
3,0.22871440649032593
4,0.2138243168592453
5,0.19717861711978912
6,0.18577954173088074
7,0.17149658501148224
8,0.15641136467456818
9,0.13823726773262024
10,0.11819185316562653
11,0.10455338656902313
12,0.09242311120033264
13,0.07834954559803009
14,0.07315950840711594
15,0.062476079910993576
16,0.053763438016176224
17,0.05183437466621399
18,0.045281339436769485
19,0.04197997227311134
20,0.05168071761727333
21,0.03809330239892006
22,0.03269248455762863
23,0.032864317297935486
24,0.03266817331314087
25,0.04119502753019333
26,0.053123872727155685
27,0.03945056349039078
28,0.03122532181441784
29,0.0635588988661766
30,0.032232701778411865
31,0.024552270770072937
32,0.026799287647008896
33,0.01888345740735531
34,0.02709309011697769
35,0.019405094906687737
36,0.03660287335515022
37,0.032695069909095764
38,0.025506654754281044
39,0.01995375007390976
40,0.025789974257349968
41,0.01821177452802658
42,0.036575719714164734
43,0.029879730194807053
44,0.02071373350918293
45,0.01505003310739994
46,0.021942229941487312
47,0.019875094294548035
48,0.02594662643969059
49,0.020626435056328773
50,0.028405990451574326
51,0.020614158362150192
52,0.02068614773452282
53,0.02098756842315197
54,0.02757357619702816
55,0.021707072854042053
56,0.0142069635912776
57,0.01679847575724125
58,0.01607084833085537
59,0.01571953296661377
60,0.02802596241235733
61,0.023775288835167885
62,0.012249690480530262
63,0.017295747995376587
64,0.017161089926958084
65,0.011533372104167938
66,0.022480670362710953
67,0.01412288099527359
68,0.013402200303971767
69,0.013700799085199833
70,0.014851067215204239
71,0.016466490924358368
72,0.014786130748689175
73,0.01098654791712761
74,0.011747024022042751
75,0.014080558903515339
76,0.014077951200306416
77,0.010861201211810112
78,0.009431061334908009
79,0.009803513996303082
80,0.01124445628374815
81,0.012456942349672318
82,0.009581610560417175
83,0.01898716762661934
84,0.021184537559747696
85,0.019906584173440933
86,0.02690681256353855
87,0.02215573750436306
88,0.011950727552175522
89,0.009951531887054443
90,0.01736011542379856
91,0.022156791761517525
92,0.01806703954935074
93,0.009561102837324142
94,0.015622434206306934
95,0.010797925293445587
96,0.018337609246373177
97,0.015436126850545406
98,0.011200637556612492
99,0.009753896854817867
