step,logs/rot-y_rot-y
0,1.4695310592651367
1,1.3231145143508911
2,1.2198508977890015
3,1.106249451637268
4,1.0031206607818604
5,0.8922222256660461
6,0.7752459645271301
7,0.679674506187439
8,0.5795271992683411
9,0.5009099841117859
10,0.43354594707489014
11,0.38106393814086914
12,0.3336460292339325
13,0.29105687141418457
14,0.24860478937625885
15,0.22593775391578674
16,0.1959194839000702
17,0.1837722212076187
18,0.16725270450115204
19,0.15202677249908447
20,0.14818407595157623
21,0.1286437064409256
22,0.1274559050798416
23,0.12321224808692932
24,0.10395948588848114
25,0.10781269520521164
26,0.0987592414021492
27,0.09291936457157135
28,0.09063117951154709
29,0.10147914290428162
30,0.08048718422651291
31,0.08898002654314041
32,0.08326136320829391
33,0.0635242909193039
34,0.05993073433637619
35,0.07529586553573608
36,0.09377641975879669
37,0.058188602328300476
38,0.05762188509106636
39,0.07616406679153442
40,0.06347828358411789
41,0.04640449583530426
42,0.059906892478466034
43,0.06556576490402222
44,0.05014214664697647
45,0.050576210021972656
46,0.06170646473765373
47,0.049956582486629486
48,0.051225289702415466
49,0.05260779708623886
50,0.037954822182655334
51,0.05750284343957901
52,0.04999784007668495
53,0.04570631682872772
54,0.04487986117601395
55,0.05684419721364975
56,0.032012708485126495
57,0.03131667524576187
58,0.07106490433216095
59,0.04115366190671921
60,0.040070176124572754
61,0.03158682584762573
62,0.02434728294610977
63,0.05971360206604004
64,0.04161347821354866
65,0.02936457097530365
66,0.027028916403651237
67,0.04448544606566429
68,0.0435069277882576
69,0.028602082282304764
70,0.02854541689157486
71,0.03405936807394028
72,0.029885701835155487
73,0.0446954183280468
74,0.044087767601013184
75,0.03601270541548729
76,0.02725715935230255
77,0.02135862037539482
78,0.04694090783596039
79,0.029603352770209312
80,0.031964533030986786
81,0.03682877868413925
82,0.021047089248895645
83,0.025877147912979126
84,0.03805797919631004
85,0.025122033432126045
86,0.029070308431982994
87,0.03974553197622299
88,0.03304542228579521
89,0.03692466393113136
90,0.023813161998987198
91,0.027097895741462708
92,0.03069598227739334
93,0.03228464350104332
94,0.02357598952949047
95,0.023467950522899628
96,0.03229478746652603
97,0.04130434989929199
98,0.021619422361254692
99,0.018208788707852364
