step,logs/rot-y_tricosine_with_pos_enc_with_depth_map
0,0.5174271464347839
1,0.47005265951156616
2,0.4147830307483673
3,0.3814946115016937
4,0.3575378954410553
5,0.33472397923469543
6,0.3092934191226959
7,0.29004162549972534
8,0.26865649223327637
9,0.24176672101020813
10,0.21309509873390198
11,0.18740630149841309
12,0.1606513112783432
13,0.14326722919940948
14,0.1279168725013733
15,0.11373846977949142
16,0.10787860304117203
17,0.09377405792474747
18,0.08401365578174591
19,0.07536947727203369
20,0.08579828590154648
21,0.06949639320373535
22,0.060988541692495346
23,0.06967976689338684
24,0.05840238183736801
25,0.052420612424612045
26,0.05727927014231682
27,0.04808562621474266
28,0.05551562458276749
29,0.055178217589855194
30,0.03590232878923416
31,0.03384724259376526
32,0.035649847239255905
33,0.035166095942258835
34,0.06162736564874649
35,0.03744710981845856
36,0.034199588000774384
37,0.04573509469628334
38,0.03608841821551323
39,0.04164450988173485
40,0.02889893390238285
41,0.02192334271967411
42,0.024564016610383987
43,0.02327512949705124
44,0.02297436259686947
45,0.02604757808148861
46,0.022860947996377945
47,0.029050417244434357
48,0.02530703693628311
49,0.02735532820224762
50,0.02782943658530712
51,0.0166594460606575
52,0.017724426463246346
53,0.021307935938239098
54,0.023158542811870575
55,0.0163764376193285
56,0.02149912901222706
57,0.024429241195321083
58,0.01614353060722351
59,0.018650105223059654
60,0.017478864639997482
61,0.019185461103916168
62,0.01540991012006998
63,0.027249271050095558
64,0.015736481174826622
65,0.014849355444312096
66,0.01608949527144432
67,0.01859157718718052
68,0.01778753288090229
69,0.014068160206079483
70,0.0174592025578022
71,0.02892151102423668
72,0.015090355649590492
73,0.011485004797577858
74,0.012966752052307129
75,0.014173779636621475
76,0.01959245651960373
77,0.01742774248123169
78,0.01232021115720272
79,0.010578243993222713
80,0.01595437526702881
81,0.015133856795728207
82,0.01444995030760765
83,0.012522024102509022
84,0.015470749698579311
85,0.013650036416947842
86,0.013332131318747997
87,0.01170755922794342
88,0.014295539818704128
89,0.013092601671814919
90,0.014245599508285522
91,0.012834210880100727
92,0.013021040707826614
93,0.014317614026367664
94,0.009989897720515728
95,0.011934038251638412
96,0.012677143327891827
97,0.014147324487566948
98,0.011732076294720173
99,0.010483622550964355
