step,logs/rot-y_tricosine_with_pos_enc_with_depth_map
0,0.5019286274909973
1,0.5957905054092407
2,0.6706607341766357
3,0.7045989632606506
4,0.7247263789176941
5,0.7437635064125061
6,0.7657357454299927
7,0.7837409377098083
8,0.8081523776054382
9,0.8331688642501831
10,0.8588377237319946
11,0.8784855604171753
12,0.9004148244857788
13,0.9139468669891357
14,0.9258914589881897
15,0.9360237121582031
16,0.9397944211959839
17,0.9493911266326904
18,0.955885648727417
19,0.9618895649909973
20,0.955045759677887
21,0.9658722281455994
22,0.9706549048423767
23,0.9645416736602783
24,0.9714709520339966
25,0.9749064445495605
26,0.9723249673843384
27,0.9772944450378418
28,0.9724729061126709
29,0.9742136597633362
30,0.9844686388969421
31,0.9858437776565552
32,0.9843611121177673
33,0.9846099019050598
34,0.9684745669364929
35,0.9835737943649292
36,0.985645055770874
37,0.9776303172111511
38,0.9839625358581543
39,0.9805203080177307
40,0.9883551001548767
41,0.9914281964302063
42,0.9901358485221863
43,0.9907274842262268
44,0.9903032779693604
45,0.9889842867851257
46,0.9908870458602905
47,0.98712557554245
48,0.9896885752677917
49,0.9879147410392761
50,0.9876586198806763
51,0.9939265251159668
52,0.9933578372001648
53,0.991568922996521
54,0.9902616739273071
55,0.9940009713172913
56,0.9909957647323608
57,0.9892624616622925
58,0.9937770366668701
59,0.9924342036247253
60,0.9931078553199768
61,0.99247807264328
62,0.9941808581352234
63,0.9880872964859009
64,0.9938260316848755
65,0.9942887425422668
66,0.9935979843139648
67,0.992397129535675
68,0.992669939994812
69,0.9948652982711792
70,0.9926344156265259
71,0.987032413482666
72,0.9940281510353088
73,0.9958663582801819
74,0.995036780834198
75,0.9947634339332581
76,0.9916528463363647
77,0.992535412311554
78,0.9954563975334167
79,0.9962247014045715
80,0.9938072562217712
81,0.9939221143722534
82,0.9943260550498962
83,0.9952303767204285
84,0.993381142616272
85,0.99480140209198
86,0.9947032928466797
87,0.9957528710365295
88,0.9942193627357483
89,0.9949866533279419
90,0.9944876432418823
91,0.9950389862060547
92,0.99500972032547
93,0.9940201640129089
94,0.9965003132820129
95,0.9954636096954346
96,0.9952881932258606
97,0.9940229058265686
98,0.9956180453300476
99,0.9961059093475342
