step,alpha_single_bin_with_pos_enc,alpha_tricosine_with_pos_enc,rot-y_single-bin_with_pos_enc,rot-y_tricosine_with_pos_enc
32,0.029056549072265625,0.0317954458296299,0.03396211564540863,0.028862081468105316
33,0.025101980194449425,0.029519572854042053,0.03161410242319107,0.03592531383037567
34,0.024125637486577034,0.028712579980492592,0.030250124633312225,0.030275462195277214
35,0.029703740030527115,0.027647260576486588,0.031820498406887054,0.032507773488759995
36,0.023895513266324997,0.027361635118722916,0.029834384098649025,0.02793058007955551
37,0.023007741197943687,0.024468127638101578,0.030196933075785637,0.026590945199131966
38,0.021461686119437218,0.02367827482521534,0.026224087923765182,0.031330354511737823
39,0.023157021030783653,0.024887708947062492,0.027095412835478783,0.023721862584352493
40,0.02529848925769329,0.026143133640289307,0.028940729796886444,0.024904737249016762
41,0.020958812907338142,0.022481178864836693,0.03035358153283596,0.03187479451298714
42,0.018893780186772346,0.023055335506796837,0.027801839634776115,0.023987622931599617
43,0.021025266498327255,0.024013686925172806,0.026512736454606056,0.023535335436463356
44,0.019146714359521866,0.022997839376330376,0.023713255301117897,0.025548849254846573
45,0.01156054437160492,0.023335488513112068,0.01964968629181385,0.02315467782318592
46,0.023685062304139137,0.024065015837550163,0.02730855904519558,0.021778518334031105
47,0.01897435076534748,0.020025381818413734,0.02284351736307144,0.024810073897242546
48,0.015853799879550934,0.019766151905059814,0.024760311469435692,0.0204366073012352
49,0.014905603602528572,0.02163689211010933,0.022133223712444305,0.01810457743704319
50,0.021175652742385864,0.017221946269273758,0.022713081911206245,0.023976566269993782
51,0.020199203863739967,0.024401117116212845,0.02325422875583172,0.02518346533179283
52,0.010692894458770752,0.01821971870958805,0.023645849898457527,0.01664421521127224
53,0.010231482796370983,0.019212756305933,0.02192109078168869,0.02191868983209133
54,0.011032729409635067,0.019848478958010674,0.01836995594203472,0.024144865572452545
55,0.013656886294484138,0.018914692103862762,0.0215192548930645,0.019781554117798805
56,0.010930459946393967,0.018542177975177765,0.02183617278933525,0.0192087572067976
57,0.008751465938985348,0.01430941466242075,0.0213797464966774,0.016794882714748383
58,0.011311279609799385,0.01624961942434311,0.017912765964865685,0.01923171803355217
59,0.010333250276744366,0.020068056881427765,0.018129795789718628,0.019934171810746193
60,0.007604600396007299,0.014654153026640415,0.021100778132677078,0.021338310092687607
61,0.010862622410058975,0.019438276067376137,0.016252845525741577,0.017685487866401672
62,0.014431326650083065,0.01676749996840954,0.02093346044421196,0.018006566911935806
63,0.013055900111794472,0.016305554658174515,0.01825334131717682,0.0184195376932621
64,0.013968562707304955,0.012334213592112064,0.01825810968875885,0.017500687390565872
65,0.017690954729914665,0.011611920781433582,0.021505648270249367,0.016055498272180557
66,0.015992138534784317,0.010410561226308346,0.01745503582060337,0.01749264821410179
67,0.011854713782668114,0.013542204163968563,0.015740251168608665,0.019867870956659317
68,0.011882498860359192,0.009085278026759624,0.017388585954904556,0.015311614610254765
69,0.015257309190928936,0.015704190358519554,0.01834705099463463,0.01690085232257843
70,0.01460419874638319,0.011247111484408379,0.01753883808851242,0.01690664514899254
71,0.013919241726398468,0.011601712554693222,0.016124026849865913,0.015952343121170998
72,0.008208311162889004,0.015331829898059368,0.015174388885498047,0.013260089792311192
73,0.011048720218241215,0.01116215530782938,0.016369305551052094,0.013570020906627178
74,0.011073348112404346,0.013924682512879372,0.015202588401734829,0.015970520675182343
75,0.007621071767061949,0.015229223296046257,0.015241489745676517,0.015967335551977158
76,0.013886994682252407,0.013406720012426376,0.01695108227431774,0.016579678282141685
77,0.011002128943800926,0.010014386847615242,0.012624933384358883,0.014971970580518246
78,0.008660213090479374,0.012327661737799644,0.017261095345020294,0.013336129486560822
79,0.01241364050656557,0.01197553239762783,0.016033168882131577,0.015254152938723564
80,0.013218028470873833,0.009501642547547817,0.016548464074730873,0.01554214209318161
81,0.010728569701313972,0.010726354084908962,0.01641778275370598,0.0158330500125885
82,0.011385766789317131,0.007974827662110329,0.015607737004756927,0.015251961536705494
83,0.008727798238396645,0.00915111880749464,0.01348505076020956,0.013378356583416462
84,0.007239962462335825,0.01344453077763319,0.011912337504327297,0.013504899106919765
85,0.006410589907318354,0.01399670634418726,0.01686311699450016,0.014738508500158787
86,0.010194096714258194,0.014126142486929893,0.01593184471130371,0.014524416998028755
87,0.015781110152602196,0.012047775089740753,0.013657543808221817,0.016482053324580193
88,0.01325524877756834,0.00960657000541687,0.01516126748174429,0.013056887313723564
89,0.008192675188183784,0.014101849868893623,0.013486931100487709,0.013259452767670155
90,0.00905273761600256,0.014517020434141159,0.012174198403954506,0.012459746561944485
91,0.01019076444208622,0.011572777293622494,0.015684915706515312,0.013456282205879688
92,0.010261528193950653,0.011479481123387814,0.012701357714831829,0.013994419947266579
93,0.012524524703621864,0.012617995031177998,0.011782803572714329,0.015080487355589867
94,0.013715313747525215,0.00914580188691616,0.016084525734186172,0.010968443937599659
95,0.007646534591913223,0.009125819429755211,0.012525414116680622,0.013070737943053246
96,0.010289957746863365,0.01144314557313919,0.01166484970599413,0.01394699327647686
97,0.01051915343850851,0.014630841091275215,0.013979585841298103,0.013417583890259266
98,0.014959113672375679,0.008070666342973709,0.012811283580958843,0.013253536075353622
99,0.009728606790304184,0.009941870346665382,0.012852759100496769,0.014068946242332458
