step,logs/rot-y_tricosine_with_depth_map
0,0.46657201647758484
1,0.38742372393608093
2,0.34745675325393677
3,0.3207732141017914
4,0.29780879616737366
5,0.2714044451713562
6,0.24582627415657043
7,0.21399566531181335
8,0.18210965394973755
9,0.1523772031068802
10,0.13005994260311127
11,0.11319796741008759
12,0.10205937922000885
13,0.08712732791900635
14,0.07627599686384201
15,0.06958533078432083
16,0.06399313360452652
17,0.05636678636074066
18,0.05348476022481918
19,0.048230644315481186
20,0.049139730632305145
21,0.039362408220767975
22,0.042300399392843246
23,0.03841561824083328
24,0.037510327994823456
25,0.03692062199115753
26,0.029900822788476944
27,0.03160305321216583
28,0.033216338604688644
29,0.03266803175210953
30,0.02855853922665119
31,0.025962013751268387
32,0.026550881564617157
33,0.0294428039342165
34,0.02565651200711727
35,0.02623729407787323
36,0.022064950317144394
37,0.0242938045412302
38,0.02506054751574993
39,0.025008805096149445
40,0.0204538032412529
41,0.021265894174575806
42,0.021448170766234398
43,0.02018703892827034
44,0.022347135469317436
45,0.019370466470718384
46,0.020922159776091576
47,0.020197860896587372
48,0.020352669060230255
49,0.016903044655919075
50,0.014767416752874851
51,0.01753552444279194
52,0.02097565308213234
53,0.014575473964214325
54,0.017663175240159035
55,0.019809206947684288
56,0.01666056551039219
57,0.018482480198144913
58,0.018387287855148315
59,0.012502656318247318
60,0.013891815207898617
61,0.01570514775812626
62,0.019016187638044357
63,0.014659775421023369
64,0.016368193551898003
65,0.014715145342051983
66,0.016883589327335358
67,0.015269401483237743
68,0.013389299623668194
69,0.015404320321977139
70,0.014902214519679546
71,0.013256258331239223
72,0.011619344353675842
73,0.017079602926969528
74,0.012709148228168488
75,0.009230866096913815
76,0.009512793272733688
77,0.019021160900592804
78,0.013025300577282906
79,0.012281613424420357
80,0.014216582290828228
81,0.013189286924898624
82,0.010288389399647713
83,0.009212004020810127
84,0.013250480405986309
85,0.016106484457850456
86,0.010893478989601135
87,0.01155232172459364
88,0.008406098932027817
89,0.013076741248369217
90,0.010849440470337868
91,0.013513919897377491
92,0.010072167031466961
93,0.01228520181030035
94,0.012630066834390163
95,0.00977237243205309
96,0.012519791722297668
97,0.013167736120522022
98,0.008484775200486183
99,0.01172230951488018
