step,logs/rot-y_multibin
0,0.9632386565208435
1,0.8173582553863525
2,0.7471483945846558
3,0.6890951991081238
4,0.6401340961456299
5,0.7492325305938721
6,0.6724298596382141
7,0.5949508547782898
8,0.5504451990127563
9,0.516814112663269
10,0.46628057956695557
11,0.4287083148956299
12,0.38257908821105957
13,0.32844728231430054
14,0.2928069233894348
15,0.2666313052177429
16,0.22786816954612732
17,0.21105383336544037
18,0.2053694874048233
19,0.20052693784236908
20,0.1685187816619873
21,0.1542852520942688
22,0.15074530243873596
23,0.13863205909729004
24,0.12923477590084076
25,0.1136702448129654
26,0.16801278293132782
27,0.08884543180465698
28,0.08718245476484299
29,0.09418128430843353
30,0.07860875129699707
31,0.0762157067656517
32,0.08387099951505661
33,0.08543898910284042
34,0.07661760598421097
35,0.06889300048351288
36,0.07256091386079788
37,0.1121833324432373
38,0.06483519822359085
39,0.06371397525072098
40,0.08233501762151718
41,0.06798166781663895
42,0.05167411267757416
43,0.04774457588791847
44,0.07564443349838257
45,0.04752165079116821
46,0.06759410351514816
47,0.0805961936712265
48,0.05854940786957741
49,0.04556276276707649
50,0.044278133660554886
51,0.03943239152431488
52,0.05416001379489899
53,0.059065282344818115
54,0.043499916791915894
55,0.036817025393247604
56,0.07206034660339355
57,0.048380859196186066
58,0.05234454944729805
59,0.04382216930389404
60,0.056790951639413834
61,0.04743320867419243
62,0.03687683492898941
63,0.06418833881616592
64,0.061426710337400436
65,0.04696108028292656
66,0.03940001130104065
67,0.03459937497973442
68,0.09221802651882172
69,0.03629518300294876
70,0.030479857698082924
71,0.041633881628513336
72,0.03889806568622589
73,0.03734045475721359
74,0.051111139357089996
75,0.035300690680742264
76,0.02913108840584755
77,0.026006923988461494
78,0.036397386342287064
79,0.03291431814432144
80,0.029367027804255486
81,0.025075173005461693
82,0.030567355453968048
83,0.03666462004184723
84,0.029360465705394745
85,0.025148561224341393
86,0.04379035159945488
87,0.0319909043610096
88,0.02930288575589657
89,0.024985136464238167
90,0.023628192022442818
91,0.03970728814601898
92,0.054083067923784256
93,0.03306996822357178
94,0.02897617034614086
95,0.037890058010816574
96,0.032481443136930466
97,0.026821725070476532
98,0.028678273782134056
99,0.02384144254028797
