step,rot-y_single-bin_with_pos_enc,rot-y_tricosine_with_pos_enc
0,0.5330743193626404,0.4995960593223572
1,0.6623765230178833,0.5065120458602905
2,0.6978092193603516,0.507071852684021
3,0.7258195877075195,0.5336099863052368
4,0.7463541626930237,0.6249013543128967
5,0.7706411480903625,0.6845522522926331
6,0.7969285845756531,0.7189503312110901
7,0.8245146870613098,0.7412046194076538
8,0.8515299558639526,0.764265775680542
9,0.8781068921089172,0.786479115486145
10,0.8986018896102905,0.8075795769691467
11,0.915123701095581,0.830508291721344
12,0.9328026175498962,0.8582687377929688
13,0.940780520439148,0.8793695569038391
14,0.9482492804527283,0.895136296749115
15,0.9581180214881897,0.914872944355011
16,0.9613436460494995,0.9300346374511719
17,0.9686024785041809,0.9399552941322327
18,0.9723981022834778,0.9428710341453552
19,0.9720681309700012,0.9533848166465759
20,0.9756850004196167,0.9612845182418823
21,0.9786124229431152,0.9556169509887695
22,0.9806358814239502,0.9667525291442871
23,0.98103266954422,0.9721457958221436
24,0.9814091324806213,0.9718517065048218
25,0.9834623336791992,0.9763031005859375
26,0.9835328459739685,0.9786550998687744
27,0.9814990758895874,0.973927915096283
28,0.9863042235374451,0.9809465408325195
29,0.985540509223938,0.9844163060188293
30,0.9881553649902344,0.9823783040046692
31,0.9853358864784241,0.9827666282653809
32,0.9874443411827087,0.9848591685295105
33,0.9869722723960876,0.9838681817054749
34,0.9898384809494019,0.9857177138328552
35,0.9884466528892517,0.9841392040252686
36,0.9853475689888,0.9873312711715698
37,0.9908441305160522,0.9814872741699219
38,0.9891785979270935,0.9759257435798645
39,0.9889490008354187,0.9879662990570068
40,0.9904429316520691,0.9887861013412476
41,0.9885872006416321,0.9876943230628967
42,0.9919919371604919,0.9809208512306213
43,0.9918577075004578,0.9884217977523804
44,0.9879346489906311,0.9889755845069885
45,0.9903157353401184,0.9883526563644409
46,0.9917426109313965,0.9886467456817627
47,0.991865873336792,0.9879354238510132
48,0.9900221824645996,0.9892691373825073
49,0.9921199679374695,0.9891642928123474
50,0.9918316006660461,0.9872278571128845
51,0.9910182356834412,0.9894484281539917
52,0.9923532009124756,0.9903212785720825
53,0.9909812808036804,0.9882053136825562
54,0.9928857088088989,0.991295576095581
55,0.9943292140960693,0.9872449636459351
56,0.9931513071060181,0.9922265410423279
57,0.989457368850708,0.9928170442581177
58,0.9933512210845947,0.9934793710708618
59,0.9939045906066895,0.9912370443344116
60,,0.9918880462646484
61,,0.9913289546966553
62,,0.9903188347816467
63,,0.9905444383621216
64,,0.9937067627906799
65,,0.9941499829292297
66,,0.9902061223983765
67,,0.9942779541015625
68,,0.99359130859375
69,,0.9940575361251831
70,,0.9917435646057129
71,,0.9900504946708679
72,,0.9942225813865662
73,,0.9933336973190308
74,,0.9933016300201416
75,,0.9936275482177734
76,,0.9923629760742188
77,,0.9934442043304443
78,,0.9945631623268127
79,,0.9933801293373108
80,,0.9899559617042542
81,,0.9808568358421326
82,,0.9857321381568909
83,,0.9916608333587646
84,,0.9934998750686646
85,,0.9947727918624878
86,,0.9942541122436523
87,,0.994752824306488
88,,0.9948300719261169
89,,0.9950224757194519
90,,0.9931086897850037
91,,0.9946547746658325
92,,0.9941185116767883
93,,0.994958221912384
94,,0.9945772886276245
95,,0.9931212067604065
96,,0.9946855306625366
97,,0.9953170418739319
98,,0.9941219687461853
99,,0.9950582981109619
