step,logs/rot-y_rot-y_
0,0.504248321056366
1,0.5025882124900818
2,0.4912187457084656
3,0.4860266447067261
4,0.5007277131080627
5,0.5241675972938538
6,0.5454705953598022
7,0.5652396082878113
8,0.5907096266746521
9,0.6133077144622803
10,0.6335776448249817
11,0.6529375910758972
12,0.6752609610557556
13,0.6959012746810913
14,0.7156404852867126
15,0.7280368804931641
16,0.7450242638587952
17,0.7609291672706604
18,0.7749764323234558
19,0.7813233137130737
20,0.7938706278800964
21,0.8019059896469116
22,0.8166964650154114
23,0.7913317680358887
24,0.785425066947937
25,0.8400245904922485
26,0.854489803314209
27,0.8458760380744934
28,0.8445354104042053
29,0.8381197452545166
30,0.8490833640098572
31,0.8541801571846008
32,0.8558889031410217
33,0.8558452129364014
34,0.8821500539779663
35,0.8610474467277527
36,0.8666417002677917
37,0.886346161365509
38,0.8917025327682495
39,0.8633013963699341
40,0.8587505221366882
41,0.8966394662857056
42,0.9188207983970642
43,0.9146217107772827
44,0.8724303841590881
45,0.895306408405304
46,0.9066863059997559
47,0.9028963446617126
48,0.8944008946418762
49,0.9084211587905884
50,0.8991260528564453
51,0.907235324382782
52,0.922489583492279
53,0.8908874988555908
54,0.9267019629478455
55,0.9251587986946106
56,0.9054123759269714
57,0.8868712782859802
58,0.9242310523986816
59,0.9374754428863525
60,0.9387658834457397
61,0.8430939316749573
62,0.9239190220832825
63,0.9399462342262268
64,0.9432892203330994
65,0.9412984251976013
66,0.9196323156356812
67,0.9243893027305603
68,0.9335126280784607
69,0.9351579546928406
70,0.9429674744606018
71,0.9290556311607361
72,0.9073454737663269
73,0.9422027468681335
74,0.9328165650367737
75,0.9264193773269653
76,0.9439099431037903
77,0.9313366413116455
78,0.9356454014778137
79,0.9321760535240173
80,0.9306778311729431
81,0.9466137290000916
82,0.943120539188385
83,0.9291098713874817
84,0.939127504825592
85,0.9363754391670227
86,0.9462277293205261
87,0.9312967658042908
88,0.9316602945327759
89,0.9516134262084961
90,0.9607097506523132
91,0.9389271140098572
92,0.935572624206543
93,0.9489071369171143
94,0.9575835466384888
95,0.9524654746055603
96,0.9303984045982361
97,0.9462411403656006
98,0.9540814161300659
99,0.9623716473579407
